Year,DroughtCount,AvgSeverity,Severity
1962,33,-1.2477358087244192,Severe
1963,34,-1.2959543383639887,Severe
1964,12,-0.8132531925671622,Moderate
1965,9,-0.7002066962256157,Moderate
1966,11,-1.1413114061188272,Moderate-Severe
1967,18,-1.4800403734245289,Severe
1968,12,-1.1931217880148683,Moderate-Severe
1969,10,-1.2646412858882399,Moderate-Severe
1970,16,-0.9882504850101457,Moderate
1971,6,-1.599398234252147,Moderate-Severe
1972,34,-1.6930699954450592,Severe
1973,35,-1.7052512502021329,Severe
1974,3,-0.5738433340633907,Moderate
1975,20,-0.8956898193662852,Moderate
1976,33,-1.0205553756215255,Severe
1977,19,-0.9603037925514499,Moderate-Severe
1978,38,-0.8395015005961051,Moderate-Severe
1979,57,-1.8304104121382048,Severe
1980,56,-2.4974344300112143,Severe
1981,46,-1.662214579383564,Severe
1982,49,-0.9592060624294958,Moderate-Severe
1983,35,-1.1185851219115948,Severe
1985,40,-0.9559219010841453,Moderate-Severe
1986,107,-1.11570386739598,Severe
1987,32,-0.8174321074168635,Moderate
1988,10,-0.8192253153342799,Moderate
1989,115,-1.1368104375111947,Severe
1990,89,-0.9058194655390638,Severe
1991,32,-0.9227670829442163,Severe
1992,131,-1.325711117937727,Severe
1993,111,-1.5059010428521515,Severe
1994,123,-1.3183452359235266,Severe
1995,224,-1.4132077101595162,Severe
1996,70,-0.9856182530298887,Severe
1997,90,-0.9111082307018025,Severe
1998,35,-1.0696899463307676,Severe
1999,46,-1.0798346281891438,Severe
2000,35,-0.9075084174658087,Moderate
2001,101,-1.0851621541637153,Severe
2002,46,-0.8586166534652742,Moderate-Severe
2003,100,-0.8826633389798145,Moderate-Severe
2004,138,-1.172210135436535,Severe
2005,51,-0.8859555792630033,Severe
2006,106,-0.9615215937366042,Severe
2007,122,-0.994847877450324,Severe
2008,39,-0.8859036891851364,Moderate-Severe
2009,148,-0.9854635959637905,Severe
2010,211,-1.2273571930815843,Severe
2011,147,-1.1205583492465696,Severe
2012,177,-1.3979924347184174,Severe
2013,202,-1.2245294859167648,Severe
2014,229,-1.202262239986183,Severe
2015,131,-1.3278811763319927,Severe
2016,75,-1.454150555481855,Severe
2017,62,-1.3312893718335126,Severe
2018,77,-1.427913253058037,Severe
2019,247,-1.4269613264024792,Severe
2020,104,-1.0006680114566397,Severe
2021,122,-1.1499837204728782,Severe
2022,225,-1.3890228808775043,Severe
2023,302,-1.679549370437506,Severe
