Station,Boro,Aus,Aman
Ambaganctg,30.208333333333332,30.357142857142854,31.25
Barisal,32.16374269005848,28.57142857142857,29.82456140350877
Bhola,27.906976744186046,27.242524916943523,28.42377260981912
Bogra,30.687830687830687,29.705215419501137,28.74779541446208
Chandpur,31.20567375886525,29.17933130699088,28.841607565011824
Chittagong,35.44973544973545,35.374149659863946,36.507936507936506
Chuadanga,25.333333333333336,26.857142857142858,30.22222222222222
Comilla,28.294573643410853,29.900332225913623,27.39018087855297
Coxsbazar,18.253968253968253,20.181405895691608,19.929453262786595
Dhaka,26.455026455026452,29.705215419501137,27.513227513227513
Dinajpur,23.333333333333332,25.71428571428571,23.809523809523807
Faridpur,33.33333333333333,26.73992673992674,27.635327635327634
Feni,29.059829059829063,30.4029304029304,30.1994301994302
Hatiya,26.923076923076923,27.83882783882784,28.205128205128204
Ishurdi,26.495726495726498,26.373626373626376,25.071225071225072
Jessore,30.606060606060602,26.49350649350649,30.1010101010101
Khepupara,31.944444444444443,29.365079365079367,31.790123456790127
Khulna,29.583333333333332,28.57142857142857,28.61111111111111
Kutubdia,28.205128205128204,29.304029304029307,30.484330484330485
Madaripur,31.62393162393162,28.93772893772894,29.059829059829063
Mcourt,26.06837606837607,27.83882783882784,29.059829059829063
Mongla,34.05797101449276,31.67701863354037,33.33333333333333
Mymensingh,27.037037037037038,27.61904761904762,27.160493827160494
Patuakhali,27.77777777777778,28.57142857142857,28.774928774928775
Rajshahi,24.444444444444443,24.761904761904763,26.913580246913583
Rangamati,27.927927927927925,30.501930501930502,31.83183183183183
Rangpur,28.51851851851852,25.396825396825395,26.913580246913583
Sandwip,28.37837837837838,25.096525096525095,29.72972972972973
Satkhira,30.833333333333336,29.642857142857142,29.444444444444446
Sitakunda,17.73049645390071,18.84498480243161,19.148936170212767
Srimangal,29.82456140350877,29.69924812030075,32.16374269005848
Sydpur,27.77777777777778,28.57142857142857,27.314814814814813
Sylhet,35.44973544973545,32.426303854875286,32.98059964726631
Tangail,32.432432432432435,27.413127413127413,27.927927927927925
Teknaf,15.602836879432624,19.756838905775076,19.38534278959811
